Time,Signal,Price
2025-04-17T23:25:00.000Z,LONG,84936.1
2025-04-18T01:05:00.000Z,LONG,84912.7
2025-04-19T11:55:00.000Z,LONG,85179.3
2025-04-20T23:00:00.000Z,LONG,84982.9
2025-04-21T12:00:00.000Z,LONG,87062.4
2025-04-21T12:55:00.000Z,LONG,87003
2025-04-23T02:25:00.000Z,LONG,92957.5
2025-04-23T02:45:00.000Z,LONG,92989.9
2025-04-23T03:25:00.000Z,LONG,92887.9
2025-04-24T18:10:00.000Z,LONG,93268.2
2025-04-25T18:30:00.000Z,LONG,94900.8
2025-04-27T02:55:00.000Z,LONG,94290
2025-04-28T14:25:00.000Z,LONG,94587.3
2025-04-28T14:35:00.000Z,LONG,94562
2025-04-29T03:30:00.000Z,LONG,94660.6
2025-04-29T13:50:00.000Z,LONG,94876
2025-04-29T14:30:00.000Z,LONG,94829.8
2025-04-30T23:30:00.000Z,LONG,94280.2
2025-05-01T18:45:00.000Z,LONG,96842.1
2025-05-01T19:45:00.000Z,LONG,96555
2025-05-01T20:10:00.000Z,LONG,96661.9
2025-05-01T21:10:00.000Z,LONG,96633.4
2025-05-05T21:00:00.000Z,LONG,94397.1
2025-05-06T01:10:00.000Z,LONG,94699.2
2025-05-06T01:35:00.000Z,LONG,94430.3
2025-05-06T02:50:00.000Z,LONG,94222.1
2025-05-06T08:50:00.000Z,LONG,94273.4
2025-05-06T09:50:00.000Z,LONG,94174.4
2025-05-06T21:50:00.000Z,LONG,94659.4
2025-05-07T03:50:00.000Z,LONG,96505.2
2025-05-07T06:00:00.000Z,LONG,96450
2025-05-08T13:20:00.000Z,LONG,99325.1
2025-05-09T01:45:00.000Z,LONG,102869.6
2025-05-11T03:25:00.000Z,LONG,103940.5
2025-05-12T09:35:00.000Z,LONG,104460.1
2025-05-12T10:35:00.000Z,LONG,104492.3
2025-05-13T15:05:00.000Z,LONG,103430.1
2025-05-13T23:40:00.000Z,LONG,104116.2
2025-05-15T15:05:00.000Z,LONG,101909.9
2025-05-15T19:45:00.000Z,LONG,103069.7
2025-05-15T21:50:00.000Z,LONG,103265.8
2025-05-16T05:10:00.000Z,LONG,103956.7
2025-05-16T05:30:00.000Z,LONG,103921.1
2025-05-16T06:15:00.000Z,LONG,103960.1
2025-05-17T04:45:00.000Z,SHORT,103454.1
2025-05-17T07:45:00.000Z,SHORT,103419.9
2025-05-17T15:40:00.000Z,SHORT,103012
2025-05-17T18:25:00.000Z,SHORT,103156.9
2025-05-18T12:30:00.000Z,LONG,103844.3
2025-05-18T19:00:00.000Z,LONG,104502.5
2025-05-19T09:05:00.000Z,SHORT,103001
2025-05-20T16:45:00.000Z,SHORT,105231.2
2025-05-20T18:15:00.000Z,SHORT,106157.7
2025-05-21T02:35:00.000Z,LONG,106757.2
2025-05-21T19:00:00.000Z,LONG,107101.3
2025-05-22T07:30:00.000Z,LONG,110807.1
2025-05-22T08:25:00.000Z,LONG,110770.5
2025-05-22T09:25:00.000Z,LONG,110636.4
2025-05-25T04:00:00.000Z,SHORT,108018.5
2025-05-25T05:10:00.000Z,SHORT,108077.5
2025-05-25T13:10:00.000Z,SHORT,107329.9
2025-05-25T14:00:00.000Z,SHORT,107467
2025-05-26T16:15:00.000Z,SHORT,109657
2025-05-26T21:15:00.000Z,SHORT,109188.2
2025-05-26T21:55:00.000Z,SHORT,109297.9
